name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,1803,235429473,830,829,1,1241.8828215635904,1,29,,unclassified,11,"LINESTRING (115.3329488 38.8743469, 115.3339777 38.873976, 115.3340217 38.873261, 115.3358027 38.8733112, 115.3359529 38.8718578, 115.3363377 38.8652406, 115.33634 38.8651402)",auto,1
,1804,235429473,829,830,1,1241.8828215635904,1,29,,unclassified,11,"LINESTRING (115.33634 38.8651402, 115.3363377 38.8652406, 115.3359529 38.8718578, 115.3358027 38.8733112, 115.3340217 38.873261, 115.3339777 38.873976, 115.3329488 38.8743469)",auto,1
京港澳高速,1805,236702092,839,841,1,48.9455473409328,2,59,,motorway,1,"LINESTRING (115.5653031 38.8263049, 115.565577 38.8266899)",auto,0
京港澳高速,1806,236702093,842,840,1,48.648970255842244,2,59,,motorway,1,"LINESTRING (115.565418 38.826691, 115.5651484 38.8263072)",auto,0
京石高速公路,1807,236702094,856,854,1,156.40323831445795,2,59,,motorway,1,"LINESTRING (115.5744732 38.8505918, 115.5743141 38.8491907)",auto,0
京石高速公路,1808,236702095,853,855,1,156.40247593789,2,59,,motorway,1,"LINESTRING (115.5744465 38.8491771, 115.5746055 38.8505782)",auto,0
京石高速公路,1809,236702096,841,789,1,1370.7327136459512,2,59,,motorway,1,"LINESTRING (115.565577 38.8266899, 115.5682067 38.830785, 115.5715818 38.8380737)",auto,0
京石高速公路,1810,236702098,855,2024,1,1259.0691260794847,2,59,,motorway,1,"LINESTRING (115.5746055 38.8505782, 115.5753177 38.8573702, 115.5756683 38.8618704)",auto,0
京石高速公路,1811,236702098,2024,3,1,794.2883561619666,2,59,,motorway,1,"LINESTRING (115.5756683 38.8618704, 115.5762238 38.8690005)",auto,0
京石高速公路,1812,236702099,854,792,1,1179.1247640040492,2,59,,motorway,1,"LINESTRING (115.5743141 38.8491907, 115.5739811 38.8470866, 115.5729795 38.8427661, 115.5719931 38.8396559, 115.5716958 38.8387965)",auto,0
京港澳高速,1813,236702101,840,372,1,3243.3262383965885,2,59,,motorway,1,"LINESTRING (115.5651484 38.8263072, 115.561474 38.8215362, 115.5565231 38.816253, 115.5538868 38.8132248, 115.5509557 38.8092325, 115.5484557 38.8051667, 115.5482678 38.8048251, 115.5462847 38.8012185)",auto,0
乐凯北大街,1814,236702104,896,897,1,52.050759318459114,1,39,,secondary,4,"LINESTRING (115.4425835 38.9164395, 115.4425859 38.9169076)",auto,1
乐凯北大街,1815,236702104,897,896,1,52.050759318459114,1,39,,secondary,4,"LINESTRING (115.4425859 38.9169076, 115.4425835 38.9164395)",auto,1
乐凯北大街,1816,236702106,897,2317,1,618.4498435763142,2,39,,secondary,4,"LINESTRING (115.4425859 38.9169076, 115.4424607 38.9224686)",auto,0
乐凯北大街,1817,236702106,2317,327,1,399.77321900256646,2,39,,secondary,4,"LINESTRING (115.4424607 38.9224686, 115.4423856 38.9258075, 115.4423801 38.9260633)",auto,0
七一东路,1818,236702107,60,2187,1,23.563804842066997,6,39,,secondary,4,"LINESTRING (115.510783 38.8768655, 115.5110496 38.8768227)",auto,0
七一东路,1819,236702107,2187,1932,1,1178.422675530147,6,39,,secondary,4,"LINESTRING (115.5110496 38.8768227, 115.512907 38.876494, 115.5148815 38.8761386, 115.5182109 38.8755612, 115.519177 38.8754686, 115.5198852 38.8754519, 115.5206963 38.8754661, 115.5244715 38.8755659)",auto,0
七一东路,1820,236702107,1932,1064,1,604.7040103081458,6,39,,secondary,4,"LINESTRING (115.5244715 38.8755659, 115.5257069 38.8755985, 115.5314541 38.8757203)",auto,0
七一东路,1821,236702108,869,870,1,134.91399503229857,3,39,,secondary,4,"LINESTRING (115.5446307 38.8757921, 115.5461891 38.8757779)",auto,0
七一西路,1822,236702109,876,875,1,52.5783851933416,2,39,,secondary,4,"LINESTRING (115.4253795 38.8801378, 115.4247722 38.8801286)",auto,1
七一西路,1823,236702109,875,876,1,52.5783851933416,2,39,,secondary,4,"LINESTRING (115.4247722 38.8801286, 115.4253795 38.8801378)",auto,1
七一西路,1824,236702110,877,380,1,57.987295194252646,6,39,,secondary,4,"LINESTRING (115.4393784 38.8804713, 115.4400481 38.8804842)",auto,0
七一西路,1825,236702111,873,874,1,141.63130657765174,2,39,,secondary,4,"LINESTRING (115.4139508 38.8800145, 115.4155869 38.8800287)",auto,1
七一西路,1826,236702111,874,873,1,141.63130657765174,2,39,,secondary,4,"LINESTRING (115.4155869 38.8800287, 115.4139508 38.8800145)",auto,1
七一西路,1827,236702112,876,877,1,1212.7207080193568,3,39,,secondary,4,"LINESTRING (115.4253795 38.8801378, 115.4276691 38.8801727, 115.4360908 38.8802746, 115.4393784 38.8804713)",auto,0
七一西路,1828,236702113,874,1257,1,594.9649989475397,3,39,,secondary,4,"LINESTRING (115.4155869 38.8800287, 115.4173897 38.8800443, 115.4197262 38.8800931, 115.4224592 38.8801123)",auto,0
七一西路,1829,236702113,1257,875,1,200.25015674481796,3,39,,secondary,4,"LINESTRING (115.4224592 38.8801123, 115.4228237 38.8801149, 115.4231621 38.8801265, 115.4244829 38.8801242, 115.4247722 38.8801286)",auto,0
七一西路,1830,236702114,375,1030,1,2340.0127860514167,3,39,,secondary,4,"LINESTRING (115.3702447 38.8795408, 115.3720729 38.879575, 115.377598 38.879624, 115.3948911 38.8798156, 115.3972747 38.8798467)",auto,0
七一西路,1831,236702114,1030,378,1,29.659768232506785,3,39,,secondary,4,"LINESTRING (115.3972747 38.8798467, 115.3974335 38.8798285, 115.3976156 38.8798258)",auto,0
七一西路,1832,236702114,378,873,1,1414.153118265711,3,39,,secondary,4,"LINESTRING (115.3976156 38.8798258, 115.4093696 38.8799748, 115.4139508 38.8800145)",auto,0
,1833,236702115,409,410,1,21.556528743037173,2,39,,primary,3,"LINESTRING (115.4122592 38.8658528, 115.412505 38.8658837)",auto,1
,1834,236702115,410,409,1,21.556528743037173,2,39,,primary,3,"LINESTRING (115.412505 38.8658837, 115.4122592 38.8658528)",auto,1
,1835,236702116,849,850,1,33.20273425785225,2,39,,primary,3,"LINESTRING (115.5914735 38.838654, 115.5911164 38.8387626)",auto,1
,1836,236702116,850,849,1,33.20273425785225,2,39,,primary,3,"LINESTRING (115.5911164 38.8387626, 115.5914735 38.838654)",auto,1
