name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,29,6084582,777,2,1,6.269230724835845,1,29,,service,7,"LINESTRING (-76.9417768 38.9844018, -76.941771 38.984458)",bike;walk,0
,30,6084583,6,5,1,8.204435084356392,1,29,,service,7,"LINESTRING (-76.942245 38.98445, -76.942302 38.984391)",bike;walk,1
,31,6084583,5,6,1,8.204435084356392,1,29,,service,7,"LINESTRING (-76.942302 38.984391, -76.942245 38.98445)",bike;walk,1
,32,6084583,5,4,1,9.687876095099938,1,29,,service,7,"LINESTRING (-76.942302 38.984391, -76.942335 38.984344, -76.94234299999999 38.984311)",bike;walk,1
,33,6084583,4,5,1,9.687876095099938,1,29,,service,7,"LINESTRING (-76.94234299999999 38.984311, -76.942335 38.984344, -76.942302 38.984391)",bike;walk,1
,34,6084583,4,7343,1,25.02606358471207,1,29,,service,7,"LINESTRING (-76.94234299999999 38.984311, -76.942346 38.984234, -76.9423354 38.9840862)",bike;walk,1
,35,6084583,7343,4,1,25.02606358471207,1,29,,service,7,"LINESTRING (-76.9423354 38.9840862, -76.942346 38.984234, -76.94234299999999 38.984311)",bike;walk,1
,36,6084583,7343,3357,1,5.000307758105596,1,29,,service,7,"LINESTRING (-76.9423354 38.9840862, -76.9423322 38.9840413)",bike;walk,1
,37,6084583,3357,7343,1,5.000307758105596,1,29,,service,7,"LINESTRING (-76.9423322 38.9840413, -76.9423354 38.9840862)",bike;walk,1
,38,6084583,3357,3356,1,26.95758690064436,1,29,,service,7,"LINESTRING (-76.9423322 38.9840413, -76.942283 38.983947, -76.9422185 38.9839021, -76.94213120000001 38.9838742)",bike;walk,1
,39,6084583,3356,3357,1,26.95758690064436,1,29,,service,7,"LINESTRING (-76.94213120000001 38.9838742, -76.9422185 38.9839021, -76.942283 38.983947, -76.9423322 38.9840413)",bike;walk,1
,40,6084583,3356,3355,1,24.18925391544102,1,29,,service,7,"LINESTRING (-76.94213120000001 38.9838742, -76.9418706 38.9837949)",bike;walk,1
,41,6084583,3355,3356,1,24.18925391544102,1,29,,service,7,"LINESTRING (-76.9418706 38.9837949, -76.94213120000001 38.9838742)",bike;walk,1
,42,6084583,3355,3354,1,16.610509860022194,1,29,,service,7,"LINESTRING (-76.9418706 38.9837949, -76.9417505 38.98375, -76.9416925 38.983742)",bike;walk,1
,43,6084583,3354,3355,1,16.610509860022194,1,29,,service,7,"LINESTRING (-76.9416925 38.983742, -76.9417505 38.98375, -76.9418706 38.9837949)",bike;walk,1
,44,6084583,3354,7347,1,26.400912734562375,1,29,,service,7,"LINESTRING (-76.9416925 38.983742, -76.9416635 38.9837758, -76.94166250000001 38.9839726)",bike;walk,1
,45,6084583,7347,3354,1,26.400912734562375,1,29,,service,7,"LINESTRING (-76.94166250000001 38.9839726, -76.9416635 38.9837758, -76.9416925 38.983742)",bike;walk,1
,46,6084583,7347,3358,1,22.72844187068572,1,29,,service,7,"LINESTRING (-76.94166250000001 38.9839726, -76.9416614 38.984177)",bike;walk,1
,47,6084583,3358,7347,1,22.72844187068572,1,29,,service,7,"LINESTRING (-76.9416614 38.984177, -76.94166250000001 38.9839726)",bike;walk,1
,48,6084583,3358,3,1,18.755919950627238,1,29,,service,7,"LINESTRING (-76.9416614 38.984177, -76.94170029999999 38.984239, -76.9417534 38.9843022, -76.941777 38.984318)",bike;walk,1
,49,6084583,3,3358,1,18.755919950627238,1,29,,service,7,"LINESTRING (-76.941777 38.984318, -76.9417534 38.9843022, -76.94170029999999 38.984239, -76.9416614 38.984177)",bike;walk,1
Presidential Drive,50,6084597,3878,3995,1,21.900966974678056,1,29,,service,7,"LINESTRING (-76.9513001 38.9860956, -76.9513764 38.9860994, -76.9515533 38.9861021)",bike;walk,1
Presidential Drive,51,6084597,3995,3878,1,21.900966974678056,1,29,,service,7,"LINESTRING (-76.9515533 38.9861021, -76.9513764 38.9860994, -76.9513001 38.9860956)",bike;walk,1
Presidential Drive,52,6084597,3995,3999,1,16.903841570251455,1,29,,service,7,"LINESTRING (-76.9515533 38.9861021, -76.9517488 38.9861063)",bike;walk,1
Presidential Drive,53,6084597,3999,3995,1,16.903841570251455,1,29,,service,7,"LINESTRING (-76.9517488 38.9861063, -76.9515533 38.9861021)",bike;walk,1
Presidential Drive,54,6084597,3999,3283,1,27.59248369819598,1,29,,service,7,"LINESTRING (-76.9517488 38.9861063, -76.95185979999999 38.9861083, -76.95187129999999 38.9861086, -76.952068 38.9861096)",bike;walk,1
