name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
小田急百貨店,11,67113643,,retail,,,"POLYGON ((139.6994621 35.6918866, 139.6995052 35.692062, 139.699481 35.6923224, 139.6998377 35.6923574, 139.6998704 35.6920814, 139.699837 35.6917286, 139.699809 35.6913489, 139.6998035 35.691242, 139.6997981 35.6911336, 139.6997845 35.6908817, 139.6996872 35.6908725, 139.6997666 35.690322, 139.6997271 35.6903178, 139.699663 35.690311, 139.6996434 35.6903092, 139.6995769 35.6903031, 139.6995658 35.6903021, 139.6994783 35.6902941, 139.6994591 35.6902924, 139.6994353 35.6904796, 139.6994343 35.6904877, 139.6994221 35.6905833, 139.6994108 35.6906723, 139.6993888 35.6908445, 139.6993686 35.6910029, 139.69931 35.6910119, 139.699284 35.6910159, 139.6992505 35.6910211, 139.699463 35.6918772, 139.6994621 35.6918866))",POINT (139.6996004 35.6913523),8038.7,86528.1
工学院大学,12,67113647,,university,,,"POLYGON ((139.6960491 35.6908862, 139.696112 35.6908473, 139.6961854 35.690802, 139.6962046 35.6905019, 139.6956383 35.6904753, 139.6956706 35.6900815, 139.6951921 35.6900516, 139.6950692 35.6906761, 139.6951767 35.6907912, 139.6960491 35.6908862))",POINT (139.6955699 35.6905246),5959.1,64143.2
ヨドバシカメラ 新宿西口本店,13,67113651,,retail,,,"POLYGON ((139.6977461 35.6900377, 139.6979954 35.6900494, 139.6980319 35.6900229, 139.6980589 35.6896472, 139.6980723 35.6894602, 139.6980379 35.6894304, 139.6976894 35.6894139, 139.6976806 35.6895373, 139.697568 35.6895319, 139.6975626 35.6896065, 139.6977763 35.6896166, 139.6977461 35.6900377))",POINT (139.6978802 35.6897065),2046.1,22024.0
東京都庁舎 第二本庁舎,14,89877420,,yes,,,"POLYGON ((139.6922889 35.6875861, 139.6922778 35.6876422, 139.6923484 35.6876486, 139.6923333 35.6877057, 139.6924049 35.6877153, 139.6923884 35.6877799, 139.6923761 35.6878333, 139.6923618 35.6878954, 139.6922883 35.687884, 139.6922759 35.6879343, 139.6923525 35.6879446, 139.6923419 35.6879853, 139.6923374 35.6880026, 139.6923226 35.6880592, 139.6923169 35.6880812, 139.692307 35.6881189, 139.6922336 35.6881106, 139.6922198 35.6881616, 139.6922893 35.6881735, 139.6922765 35.6882276, 139.6922623 35.6882873, 139.6922483 35.6883458, 139.6921815 35.6883362, 139.692169 35.6883917, 139.6921 35.6883834, 139.6920849 35.6884401, 139.6920513 35.6884349, 139.6919037 35.6884121, 139.6918639 35.6884059, 139.691879 35.6883452, 139.6918124 35.6883356, 139.6918241 35.688279, 139.691754 35.6882693, 139.6917704 35.6882052, 139.6917852 35.6881477, 139.6917996 35.6880917, 139.691866 35.6881034, 139.6918775 35.6880552, 139.6918112 35.6880425, 139.6918256 35.6879776, 139.6918379 35.6879221, 139.6918506 35.6878647, 139.6919228 35.6878766, 139.6919351 35.6878292, 139.6918663 35.6878152, 139.691881 35.6877514, 139.6918938 35.6876958, 139.6919069 35.6876389, 139.6919847 35.6876506, 139.6919952 35.6875972, 139.6920641 35.6876059, 139.6920768 35.6875515, 139.6921492 35.6875633, 139.6921561 35.6875644, 139.6922109 35.6875733, 139.6922174 35.6875744, 139.6922889 35.6875861))",POINT (139.6920788 35.6879948),3774.6,40629.4
東京都庁舎 第一本庁舎,15,89877471,,yes,,,"POLYGON ((139.6917055 35.689054, 139.6916342 35.6890432, 139.6916189 35.6890955, 139.6915871 35.6890908, 139.6915589 35.6890866, 139.6915515 35.6891136, 139.6915179 35.6892361, 139.6915089 35.6892679, 139.691544 35.6892735, 139.6915724 35.6892781, 139.6915607 35.6893297, 139.6914992 35.6896018, 139.6914872 35.6896551, 139.691454 35.6896507, 139.6914196 35.689646, 139.6914117 35.6896767, 139.6913788 35.6898049, 139.691372 35.6898316, 139.691408 35.6898372, 139.6914384 35.689842, 139.6914253 35.6898991, 139.6914956 35.6899112, 139.6914898 35.6899431, 139.6914833 35.6899686, 139.6915162 35.6899734, 139.6916694 35.689998, 139.6917027 35.6900025, 139.6917084 35.6899742, 139.6917158 35.6899485, 139.691789 35.6899583, 139.6918008 35.6899079, 139.6918356 35.6899128, 139.6918757 35.6899185, 139.691882 35.6898897, 139.6919125 35.6897503, 139.6919192 35.6897199, 139.691879 35.6897141, 139.6918422 35.6897089, 139.6918537 35.6896628, 139.6919221 35.6893895, 139.691936 35.6893337, 139.6919735 35.6893387, 139.6920088 35.6893435, 139.6920156 35.6893123, 139.692042 35.6891917, 139.6920481 35.6891638, 139.6920155 35.6891604, 139.6919786 35.6891563, 139.6919933 35.6891017, 139.6919288 35.6890918, 139.6919359 35.6890627, 139.6919438 35.689032, 139.6919054 35.6890255, 139.6917528 35.6890051, 139.6917174 35.6890004, 139.6917114 35.6890252, 139.6917055 35.689054))",POINT (139.6917108 35.6895023),4012.4,43188.7
東京都議会議事堂,16,89878322,,yes,,,"POLYGON ((139.6917262 35.6889741, 139.6917588 35.6889797, 139.6917528 35.6890051, 139.6919054 35.6890255, 139.6919106 35.6890046, 139.6926266 35.6891182, 139.6927493 35.6891479, 139.6928296 35.6891851, 139.6928952 35.689226, 139.6929611 35.6892759, 139.6930229 35.6893503, 139.693064 35.6894283, 139.6930942 35.6895242, 139.6931024 35.6895794, 139.6930761 35.6896053, 139.6930404 35.6896675, 139.6930233 35.6897358, 139.693028 35.6898165, 139.693032 35.6898578, 139.6929996 35.689918, 139.692949 35.6899742, 139.6928758 35.6900371, 139.6928026 35.6900827, 139.6926803 35.6901275, 139.6925969 35.6901438, 139.6925077 35.6901505, 139.6924114 35.6901429, 139.691698 35.6900248, 139.6917027 35.6900025, 139.6916694 35.689998, 139.6915162 35.6899734, 139.6915107 35.6899954, 139.6914753 35.6899897, 139.6914592 35.6900508, 139.6915747 35.6900694, 139.6927193 35.6902543, 139.6932113 35.6903334, 139.6932252 35.6902771, 139.6932934 35.6902888, 139.6933649 35.6900039, 139.6933857 35.6899187, 139.6934312 35.6899274, 139.6935017 35.6896373, 139.6934573 35.689632, 139.6934714 35.6895448, 139.6935446 35.6892621, 139.6934737 35.6892518, 139.6934859 35.6891949, 139.6930026 35.6891191, 139.6924442 35.6890271, 139.6918952 35.6889395, 139.6918088 35.6889263, 139.6917379 35.6889151, 139.6917262 35.6889741))",POINT (139.6929524 35.689701),7305.7,78638.2
新宿第一生命ビル,17,94153644,,yes,,,"POLYGON ((139.6913936 35.6919012, 139.6914276 35.6917487, 139.6913759 35.6916863, 139.6910361 35.6912763, 139.6908582 35.6912483, 139.6907289 35.6917908, 139.6913936 35.6919012))",POINT (139.6910525 35.6916147),2771.6,29832.8
,18,94156452,,grave_yard,,,"POLYGON ((139.6969076 35.694916, 139.6975942 35.694537, 139.6972402 35.6941231, 139.6965857 35.6944368, 139.6969076 35.694916))",POINT (139.69708 35.6945087),4175.3,44942.5
,19,94156455,,grave_yard,,,"POLYGON ((139.6971329 35.6940708, 139.6968057 35.6942451, 139.696398 35.6944324, 139.6963711 35.6943932, 139.6962646 35.6942503, 139.6965162 35.6941242, 139.6966049 35.6942274, 139.6967842 35.6941384, 139.6967625 35.6940591, 139.696575 35.693805, 139.6967896 35.6937092, 139.6971329 35.6940708))",POINT (139.696721 35.6940823),2197.6,23654.3
KDDIビル,20,95793043,,yes,,,"POLYGON ((139.6944685 35.6881286, 139.6950756 35.6882259, 139.6951158 35.6880622, 139.6951346 35.6879858, 139.6951544 35.6879055, 139.6951964 35.6877345, 139.6945904 35.687636, 139.6945489 35.6878036, 139.694528 35.6878881, 139.6945092 35.6879643, 139.6944685 35.6881286))",POINT (139.6948326 35.6879313),3113.0,33508.3
,21,95793046,,yes,,,"POLYGON ((139.6908672 35.6911839, 139.6909981 35.6906593, 139.6910315 35.6906429, 139.6916771 35.6907479, 139.6916395 35.6908979, 139.6915493 35.690947, 139.6910539 35.6912168, 139.6908672 35.6911839))",POINT (139.6912227 35.6909068),2834.9,30515.0
新宿モノリスビル,22,95793048,,office,,,"POLYGON ((139.6942382 35.6887221, 139.6942623 35.688726, 139.6942576 35.6887454, 139.6949312 35.6888536, 139.6949353 35.6888368, 139.6949602 35.6888408, 139.6949737 35.6887852, 139.6949916 35.6887118, 139.6950338 35.6885386, 139.6950092 35.6885346, 139.6950138 35.6885157, 139.6943396 35.6884073, 139.6943353 35.6884249, 139.6943116 35.6884211, 139.6942671 35.6886036, 139.6942591 35.6886365, 139.6942382 35.6887221))",POINT (139.694636 35.6886306),2528.7,27218.2
熊野神社,23,95937711,,place_of_worship,,,"POLYGON ((139.6880207 35.6904081, 139.6880796 35.6904279, 139.6880722 35.6904426, 139.6881215 35.6904592, 139.6880948 35.6905116, 139.6881401 35.6905268, 139.6881149 35.6905763, 139.6881622 35.6905922, 139.6881884 35.6905408, 139.6882224 35.6905522, 139.6882527 35.6904927, 139.6882753 35.6905003, 139.6883192 35.6904141, 139.6882753 35.6903994, 139.6882896 35.6903714, 139.6882013 35.6903418, 139.688187 35.6903699, 139.6881149 35.6903457, 139.6880947 35.6903853, 139.6880415 35.6903674, 139.6880207 35.6904081))",POINT (139.6881799 35.6904459),384.0,4133.7
,24,95937714,,yes,,,"POLYGON ((139.6881373 35.6900452, 139.6882073 35.6900843, 139.6882197 35.6900696, 139.6882472 35.690085, 139.6883027 35.6900196, 139.6883209 35.6900299, 139.6883568 35.6899876, 139.6883418 35.6899792, 139.6883888 35.6899239, 139.6882879 35.6898674, 139.6881373 35.6900452))",POINT (139.6882661 35.6899818),264.6,2847.9
,25,95937715,,yes,,,"POLYGON ((139.6883258 35.6902997, 139.6883479 35.6902546, 139.6883629 35.6902594, 139.6884337 35.6901145, 139.6884551 35.6901214, 139.688467 35.6900971, 139.688591 35.6901371, 139.6884862 35.6903514, 139.6883258 35.6902997))",POINT (139.6884635 35.690224),362.9,3906.2
十二社熊野神社,26,95937718,,place_of_worship,,,"POLYGON ((139.6880244 35.6904389, 139.6879608 35.6903783, 139.6881564 35.6900905, 139.6881 35.6900663, 139.6883675 35.6897511, 139.6885273 35.6899443, 139.6887033 35.6901134, 139.6883562 35.690728, 139.6879683 35.6905836, 139.6880244 35.6904389))",POINT (139.6883189 35.6902685),4013.9,43205.0
