name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,10,118809987,,aircraft,,,"POLYGON ((-81.3124833 28.4497836, -81.31252809999999 28.449769, -81.312574 28.449796, -81.31258560000001 28.4497975, -81.3125816 28.4497879, -81.3125462 28.4497631, -81.3125904 28.4497487, -81.31263730000001 28.4497789, -81.3126484 28.4497643, -81.3126113 28.4497419, -81.3126841 28.4497182, -81.3127262 28.4497467, -81.312736 28.4497341, -81.3127016 28.4497125, -81.3128018 28.4496799, -81.3128749 28.4497241, -81.3128983 28.4497265, -81.31288960000001 28.449707, -81.3128172 28.4496598, -81.31281180000001 28.4495679, -81.3128438 28.4495926, -81.31285560000001 28.4495799, -81.3128105 28.4495448, -81.3128069 28.4494836, -81.3128406 28.4495042, -81.3128502 28.4494905, -81.3128057 28.4494634, -81.3128031 28.449418, -81.3128322 28.4494368, -81.312847 28.44944, -81.3128387 28.4494276, -81.3128023 28.4494044, -81.31279979999999 28.4493615, -81.3127696 28.449342, -81.3127643 28.4493862, -81.3127453 28.4493782, -81.3127633 28.4493946, -81.3127374 28.4496109, -81.3126637 28.4495667, -81.31258649999999 28.4495284, -81.3125725 28.449444, -81.31255640000001 28.4494358, -81.3125211 28.4494947, -81.31249800000001 28.4494859, -81.3125148 28.4495042, -81.3124672 28.4495519, -81.3124833 28.4495649, -81.3125718 28.4495449, -81.3126402 28.4495897, -81.31272 28.4496345, -81.31250110000001 28.449739, -81.31247380000001 28.4497298, -81.3124893 28.4497447, -81.3124487 28.4497641, -81.3124833 28.4497836))",POINT (-81.3126881 28.4496024),586.8,6316.5
Airside 4,11,141014953,,yes,,,"POLYGON ((-81.3031994 28.4272062, -81.3032314 28.4271993, -81.3032516 28.4271949, -81.3032923 28.4271739, -81.30332439999999 28.4271462, -81.30333880000001 28.4271189, -81.3033463 28.4271048, -81.30334790000001 28.4270572, -81.3033393 28.4270173, -81.30333779999999 28.4270101, -81.30330859999999 28.4269714, -81.30327 28.4269463, -81.30323749999999 28.4269359, -81.303223 28.4269312, -81.3029609 28.4269339, -81.3024034 28.4269395, -81.3020523 28.4269431, -81.3020552 28.4270234, -81.3019654 28.4270241, -81.3019625 28.4269476, -81.30176 28.4269464, -81.3018095 28.4268956, -81.3012311 28.4266062, -81.30118659999999 28.4266483, -81.3010834 28.426503, -81.3009868 28.426555, -81.300946 28.4264977, -81.3010577 28.4264445, -81.30104040000001 28.4264185, -81.30072199999999 28.4259382, -81.30050129999999 28.4256053, -81.3004756 28.4255666, -81.30043139999999 28.4255319, -81.300372 28.4255103, -81.30033210000001 28.4255112, -81.30030360000001 28.4255118, -81.3002508 28.4255372, -81.3002233 28.4255616, -81.30020620000001 28.4255767, -81.3001951 28.4256295, -81.30019540000001 28.4256737, -81.30021410000001 28.425712, -81.3002237 28.4257316, -81.3003487 28.4259201, -81.3006278 28.426341, -81.30078760000001 28.4265819, -81.3008993 28.4265251, -81.3009373 28.4265825, -81.3008226 28.4266432, -81.3009184 28.426789, -81.30087949999999 28.42679, -81.300882 28.4273777, -81.3009272 28.4273787, -81.3008335 28.4275338, -81.3009467 28.427583, -81.3009062 28.4276528, -81.3008006 28.4275931, -81.3007731 28.4276363, -81.3004483 28.4281466, -81.3003106 28.428363, -81.30023370000001 28.4284838, -81.3002297 28.4285007, -81.30022169999999 28.428534, -81.3002271 28.4285855, -81.3002552 28.4286234, -81.3002664 28.4286385, -81.3003178 28.4286672, -81.30035789999999 28.4286763, -81.3003872 28.428678, -81.3004454 28.428662, -81.3004955 28.428635, -81.30067440000001 28.4283519, -81.30107099999999 28.4277245, -81.30095710000001 28.427673, -81.30099610000001 28.4276172, -81.30109969999999 28.4276624, -81.3011917 28.4275225, -81.3013258 28.4275924, -81.301416 28.4275504, -81.3014319 28.4275751, -81.3013966 28.4275941, -81.30137499999999 28.427622, -81.30137089999999 28.4276684, -81.3015012 28.4278645, -81.3015511 28.4278884, -81.30160480000001 28.4278778, -81.3017322 28.4278135, -81.3018453 28.4277571, -81.3020588 28.4276424, -81.3020849 28.427602, -81.30208090000001 28.4275567, -81.3019587 28.427373, -81.30191050000001 28.4273481, -81.30186070000001 28.4273541, -81.30180300000001 28.4273849, -81.3017832 28.4273606, -81.3018324 28.4273306, -81.30182689999999 28.4272557, -81.30179579999999 28.4272096, -81.3019706 28.4272151, -81.3019659 28.4271053, -81.3020573 28.4271024, -81.3020523 28.4272128, -81.3024032 28.4272108, -81.3029662 28.4272075, -81.3031994 28.4272062))",POINT (-81.30135610000001 28.4271497),22952.5,247058.7
Airside 2,12,141014959,,yes,,,"POLYGON ((-81.3017384 28.4346955, -81.3015097 28.4350597, -81.3014649 28.4350378, -81.3014841 28.435007, -81.3013357 28.4349329, -81.3013244 28.4349499, -81.30125940000001 28.4349184, -81.3012027 28.4348239, -81.30094579999999 28.4344339, -81.3007831 28.4341869, -81.3005818 28.4338813, -81.30038589999999 28.433981, -81.30022390000001 28.4340636, -81.3004123 28.4343497, -81.3006235 28.4346704, -81.30079189999999 28.434926, -81.3009035 28.4350954, -81.3009059 28.4352575, -81.3009122 28.4356603, -81.30117389999999 28.4356572, -81.30117439999999 28.4356921, -81.30127899999999 28.435744, -81.3013169 28.4357242, -81.3014585 28.435934, -81.3020166 28.4356426, -81.3033607 28.4356259, -81.3033551 28.4352767, -81.3020271 28.4353033, -81.3019591 28.435264, -81.3019694 28.4352458, -81.3018206 28.4351744, -81.3018002 28.4352063, -81.3017565 28.4351827, -81.3019896 28.4348208, -81.3019225 28.4347873, -81.30180970000001 28.4347315, -81.3017384 28.4346955))",POINT (-81.3015857 28.4351442),19846.3,213623.4
Airside 3,13,141014960,,yes,,,"POLYGON ((-81.3145023 28.4273541, -81.3144272 28.4273517, -81.31445669999999 28.4273046, -81.3143736 28.4272527, -81.3145157 28.4270593, -81.3145908 28.4271064, -81.31462190000001 28.4270645, -81.31488710000001 28.426689, -81.3152455 28.4261994, -81.3153418 28.4260662, -81.3153016 28.4260435, -81.3151246 28.4259435, -81.315056 28.4260387, -81.3149705 28.4261574, -81.3147268 28.4264962, -81.3144538 28.426876, -81.31437630000001 28.4269838, -81.3144514 28.4270286, -81.31431190000001 28.427222, -81.3142421 28.4271796, -81.31421 28.427222, -81.31418309999999 28.4272102, -81.3141724 28.427163, -81.313821 28.4272362, -81.3138237 28.427281, -81.3137701 28.4273588, -81.3135877 28.4272574, -81.3136279 28.4271796, -81.3135303 28.4271233, -81.3132732 28.4269748, -81.3129048 28.4267621, -81.31266770000001 28.4266252, -81.3126439 28.4266605, -81.31253340000001 28.4268242, -81.3125228 28.4268399, -81.3128577 28.4270272, -81.31298510000001 28.4270984, -81.31345949999999 28.4273636, -81.3134804 28.4273753, -81.31354210000001 28.4273046, -81.3137272 28.4274202, -81.3136655 28.4275027, -81.31361990000001 28.4275239, -81.31369770000001 28.4278259, -81.3137325 28.4278188, -81.3137593 28.4278329, -81.3136655 28.4279556, -81.313695 28.4279674, -81.31363349999999 28.4280571, -81.3136875 28.4280877, -81.3137595 28.4281284, -81.3138264 28.4281608, -81.3138847 28.4280767, -81.31390210000001 28.4280865, -81.3139877 28.4279676, -81.3140356 28.4279957, -81.3143682 28.4279297, -81.31436549999999 28.4278896, -81.3144245 28.427807, -81.314801 28.4280159, -81.31473029999999 28.4281066, -81.3148245 28.4281592, -81.3151385 28.4283347, -81.3155041 28.428539, -81.31576029999999 28.4286821, -81.3158109 28.4286108, -81.3159266 28.4284486, -81.3157436 28.4283451, -81.31562820000001 28.4282798, -81.31525329999999 28.4280678, -81.3152051 28.4280405, -81.31516980000001 28.4280871, -81.3149583 28.427977, -81.31492280000001 28.4279571, -81.31489089999999 28.4279994, -81.3144594 28.4277551, -81.3145291 28.4276702, -81.31457210000001 28.4276537, -81.3145023 28.4273541))",POINT (-81.31431499999999 28.4274254),17162.4,184734.4
Airside 1,14,141014965,,yes,,,"POLYGON ((-81.31368380000001 28.434199, -81.31383700000001 28.4344092, -81.313695 28.4344892, -81.3136762 28.4346543, -81.3137419 28.4347382, -81.3136216 28.4348111, -81.3136547 28.4348536, -81.3135324 28.4349304, -81.31352320000001 28.4349189, -81.31349710000001 28.4348865, -81.3132081 28.4350615, -81.3131923 28.4350711, -81.31313660000001 28.435, -81.3128761 28.4351576, -81.312928 28.4352241, -81.31270259999999 28.4353603, -81.31252449999999 28.4354679, -81.3125008 28.435482, -81.3125191 28.4355066, -81.3125462 28.4355336, -81.3124376 28.4355934, -81.31252259999999 28.4357067, -81.3126235 28.4356466, -81.31263749999999 28.435666, -81.3126815 28.4357189, -81.31276990000001 28.4356621, -81.3127916 28.4356906, -81.31282520000001 28.4356708, -81.3129447 28.4356038, -81.3129562 28.4356139, -81.3131367 28.4355085, -81.3131035 28.4354651, -81.3136724 28.4351356, -81.3137993 28.4352989, -81.3139292 28.4352257, -81.3139525 28.4352589, -81.31430709999999 28.4350461, -81.3143371 28.4350855, -81.3144162 28.4350375, -81.31460079999999 28.4352898, -81.31451629999999 28.4353385, -81.31454050000001 28.435371, -81.31469079999999 28.4355732, -81.3149568 28.435931, -81.3150473 28.4360527, -81.3151062 28.4360185, -81.3152303 28.4359475, -81.3152869 28.435915, -81.3152003 28.4357984, -81.3150536 28.435601, -81.3148243 28.4352924, -81.314757 28.4352018, -81.3146627 28.435256, -81.314474 28.4350018, -81.3145528 28.4349565, -81.3145227 28.4349159, -81.3146579 28.4348383, -81.3147142 28.4346638, -81.3146186 28.4345389, -81.3146959 28.4344932, -81.3146328 28.4344108, -81.3149403 28.4342288, -81.31498740000001 28.4342905, -81.3151123 28.4342166, -81.31537609999999 28.434059, -81.315687 28.4338761, -81.31581439999999 28.4338011, -81.3158066 28.4337909, -81.3156821 28.4336282, -81.3156656 28.433638, -81.3154686 28.4337545, -81.31520399999999 28.433911, -81.3148716 28.4341077, -81.3148545 28.4341178, -81.3149107 28.4341912, -81.3145868 28.4343828, -81.3145361 28.4343166, -81.3144454 28.4343704, -81.3143414 28.4342345, -81.3141778 28.4342203, -81.3140594 28.4342847, -81.313911 28.4340736, -81.3138168 28.4341248, -81.3137442 28.434165, -81.31368380000001 28.434199))",POINT (-81.31413310000001 28.4348841),19026.8,204802.8
B Terminal Parking,15,141014969,,parking,,,"POLYGON ((-81.3095436 28.4284222, -81.30916670000001 28.4283295, -81.3088274 28.4282721, -81.30848140000001 28.4282415, -81.30825230000001 28.428235, -81.3082179 28.4282352, -81.3081846 28.4282353, -81.3079316 28.4282438, -81.3075936 28.4282839, -81.307255 28.4283519, -81.3069857 28.4284285, -81.3068998 28.4284511, -81.3069077 28.4289744, -81.306906 28.4291007, -81.3069088 28.4291753, -81.30691349999999 28.4297443, -81.30735009999999 28.4297402, -81.3081354 28.4297322, -81.30813209999999 28.4289486, -81.30830640000001 28.4289439, -81.30831240000001 28.4297464, -81.30956500000001 28.4297275, -81.3095385 28.429673, -81.3095373 28.4295456, -81.3095392 28.4291705, -81.3095397 28.4290761, -81.3095404 28.4289589, -81.3095436 28.4284222))",POINT (-81.3082264 28.4290063),39466.2,424809.7
Terminal A Parking,16,142321210,,parking,,,"POLYGON ((-81.30959729999999 28.4338882, -81.309535 28.4339055, -81.30926820000001 28.4339795, -81.3089267 28.4340486, -81.3085627 28.4340904, -81.3082642 28.4340981, -81.30788870000001 28.4340793, -81.30759980000001 28.4340432, -81.30724499999999 28.4339849, -81.3069441 28.4339088, -81.3069412 28.4333971, -81.3069409 28.4333523, -81.3069404 28.4332552, -81.306937 28.4326648, -81.306937 28.4325238, -81.3073685 28.4325238, -81.30772690000001 28.4325217, -81.3077292 28.4325943, -81.3081811 28.432591, -81.3081821 28.4326979, -81.3081858 28.4330711, -81.3081347 28.4330691, -81.3081371 28.433181, -81.3081869 28.4331811, -81.308189 28.4333946, -81.3083635 28.4333904, -81.3083537 28.4330712, -81.3084035 28.4330711, -81.3084059 28.4329032, -81.3083486 28.4329034, -81.30834230000001 28.432696, -81.3083393 28.4325957, -81.309184 28.432588, -81.309184 28.4325072, -81.3095919 28.4325013, -81.30959470000001 28.4332277, -81.3095951 28.4333345, -81.30959559999999 28.4334498, -81.30959729999999 28.4338882))",POINT (-81.30826329999999 28.4333055),40739.9,438520.0
Terminal A/B,17,142321213,,transportation,,,"POLYGON ((-81.3099526 28.4319232, -81.30614509999999 28.4319565, -81.3061435 28.4320286, -81.3056703 28.4320328, -81.3056167 28.4319482, -81.3056514 28.4319329, -81.3056325 28.4319038, -81.3055844 28.4318303, -81.30555990000001 28.4317929, -81.3058422 28.4316472, -81.30579040000001 28.4315712, -81.30573099999999 28.4314842, -81.3056861 28.4314184, -81.30594000000001 28.431288, -81.3059621 28.4312214, -81.30596370000001 28.4311576, -81.3059447 28.4310869, -81.3056845 28.4309579, -81.3057204 28.4308975, -81.305784 28.4307998, -81.3058166 28.4307457, -81.3061215 28.4308996, -81.3061206 28.4308695, -81.3053249 28.4304738, -81.3053362 28.4304561, -81.30535140000001 28.4304325, -81.30536379999999 28.4304131, -81.3053779 28.4303893, -81.30540740000001 28.4303449, -81.30542060000001 28.4303243, -81.3054332 28.4303047, -81.305459 28.4302643, -81.3059779 28.4305168, -81.30612139999999 28.4305168, -81.3061246 28.4303906, -81.3099352 28.4303809, -81.30994149999999 28.4308011, -81.3098286 28.430801, -81.3097444 28.4308289, -81.309765 28.4308783, -81.30979379999999 28.4309501, -81.3098201 28.4310078, -81.30965449999999 28.4310605, -81.30966239999999 28.4312505, -81.3098248 28.4313046, -81.30980390000001 28.4313616, -81.30977679999999 28.4314354, -81.30975859999999 28.4314849, -81.30962769999999 28.4314489, -81.30931219999999 28.431453, -81.3093169 28.4315113, -81.3099431 28.4315085, -81.30994149999999 28.4316042, -81.3099526 28.4319232))",POINT (-81.30776640000001 28.4311645),69607.0,749243.2
,18,183987721,,yes,,,"POLYGON ((-81.3097502 28.4277259, -81.309746 28.427974, -81.3097423 28.4281892, -81.3089006 28.4281779, -81.30890410000001 28.4279705, -81.3089085 28.4277147, -81.3097502 28.4277259))",POINT (-81.30932540000001 28.4279519),4234.5,45579.4
,19,183987722,,yes,,,"POLYGON ((-81.3075695 28.4277147, -81.3075702 28.4279701, -81.3075709 28.4281914, -81.306726 28.4281933, -81.3067254 28.4279625, -81.3067247 28.4277373, -81.3068809 28.4277369, -81.3068809 28.4277162, -81.3075695 28.4277147))",POINT (-81.30715050000001 28.4279558),4335.3,46664.7
