o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
23,Gate11,26,Gate14,1.5805639280040553,"LINESTRING (132.72455 34.39261,132.70901 34.38743)"
24,Gate12,1,A1,2.080942319201925,"LINESTRING (132.71937 34.38743,132.7088033 34.4062304)"
24,Gate12,2,A2,1.8741481998034537,"LINESTRING (132.71937 34.38743,132.714254 34.4061674)"
24,Gate12,3,A3,1.8385858741144938,"LINESTRING (132.71937 34.38743,132.7170292 34.4063404)"
24,Gate12,4,B1,1.7350818158056558,"LINESTRING (132.71937 34.38743,132.7102556 34.402931)"
24,Gate12,5,B2,1.5723726945241527,"LINESTRING (132.71937 34.38743,132.7148118 34.4030752)"
24,Gate12,6,B3,1.3853664251307671,"LINESTRING (132.71937 34.38743,132.7175319 34.4016695)"
24,Gate12,7,C1,1.3985506553639464,"LINESTRING (132.71937 34.38743,132.7107105 34.3990531)"
24,Gate12,8,C2,1.1682006463351429,"LINESTRING (132.71937 34.38743,132.7148674 34.3986685)"
24,Gate12,9,C3,0.8965817071779529,"LINESTRING (132.71937 34.38743,132.7179452 34.3966121)"
24,Gate12,10,D1,1.2295487709601596,"LINESTRING (132.71937 34.38743,132.7073985 34.3917959)"
24,Gate12,11,D2,0.7541813035722521,"LINESTRING (132.71937 34.38743,132.7135851 34.3926861)"
24,Gate12,12,D3,0.5455441097340927,"LINESTRING (132.71937 34.38743,132.7184847 34.3930142)"
24,Gate12,13,Gate1,1.580563928004489,"LINESTRING (132.71937 34.38743,132.70383 34.39261)"
24,Gate12,14,Gate2,1.8021201485090146,"LINESTRING (132.71937 34.38743,132.70383 34.39779)"
24,Gate12,15,Gate3,2.120549031481467,"LINESTRING (132.71937 34.38743,132.70383 34.40297)"
24,Gate12,16,Gate4,2.499090999999592,"LINESTRING (132.71937 34.38743,132.70383 34.40815)"
24,Gate12,17,Gate5,2.691603380604376,"LINESTRING (132.71937 34.38743,132.70901 34.41333)"
24,Gate12,18,Gate6,2.5485827550480713,"LINESTRING (132.71937 34.38743,132.71419 34.41333)"
24,Gate12,19,Gate7,2.4990909999993174,"LINESTRING (132.71937 34.38743,132.71937 34.41333)"
24,Gate12,20,Gate8,2.060803232205065,"LINESTRING (132.71937 34.38743,132.72455 34.40815)"
24,Gate12,21,Gate9,1.5805639280049228,"LINESTRING (132.71937 34.38743,132.72455 34.40297)"
24,Gate12,22,Gate10,1.1176274715912802,"LINESTRING (132.71937 34.38743,132.72455 34.39779)"
24,Gate12,23,Gate11,0.7068496771598424,"LINESTRING (132.71937 34.38743,132.72455 34.39261)"
24,Gate12,24,Gate12,0.0,"LINESTRING (132.71937 34.38743,132.71937 34.38743)"
24,Gate12,25,Gate13,0.49981819999958926,"LINESTRING (132.71937 34.38743,132.71419 34.38743)"
24,Gate12,26,Gate14,0.9996363999991785,"LINESTRING (132.71937 34.38743,132.70901 34.38743)"
25,Gate13,1,A1,1.8870414547387118,"LINESTRING (132.71419 34.38743,132.7088033 34.4062304)"
25,Gate13,2,A2,1.8079783737467965,"LINESTRING (132.71419 34.38743,132.714254 34.4061674)"
25,Gate13,3,A3,1.8451121145884144,"LINESTRING (132.71419 34.38743,132.7170292 34.4063404)"
25,Gate13,4,B1,1.5431137145297484,"LINESTRING (132.71419 34.38743,132.7102556 34.402931)"
25,Gate13,5,B2,1.5107989965701007,"LINESTRING (132.71419 34.38743,132.7148118 34.4030752)"
