o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
35,C9,50,D11,5.367713623070032,"LINESTRING (102.76002 25.0757209,102.810435 25.052205)"
35,C9,51,D12,7.2300604100398465,"LINESTRING (102.76002 25.0757209,102.831165 25.052205)"
35,C9,52,D13,9.150797737869635,"LINESTRING (102.76002 25.0757209,102.851895 25.052205)"
35,C9,53,E1,15.050226466891372,"LINESTRING (102.76002 25.0757209,102.6133916 25.0225331)"
35,C9,54,E2,13.447335327511272,"LINESTRING (102.76002 25.0757209,102.6276104 25.0322434)"
35,C9,55,E3,12.259602381655027,"LINESTRING (102.76002 25.0757209,102.6412845 25.0304991)"
35,C9,56,E4,9.536925124811113,"LINESTRING (102.76002 25.0757209,102.6720857 25.0305922)"
35,C9,57,E5,8.424829336096943,"LINESTRING (102.76002 25.0757209,102.6857525 25.0298091)"
35,C9,58,E6,6.5039146132030705,"LINESTRING (102.76002 25.0757209,102.7067641 25.0344021)"
35,C9,59,E7,5.12905250491581,"LINESTRING (102.76002 25.0757209,102.7270073 25.0340585)"
35,C9,60,E8,4.739429472375553,"LINESTRING (102.76002 25.0757209,102.7442511 25.0292026)"
35,C9,61,E9,4.602217576830247,"LINESTRING (102.76002 25.0757209,102.7771923 25.0312232)"
35,C9,62,E10,4.924184067457598,"LINESTRING (102.76002 25.0757209,102.7862619 25.0319518)"
35,C9,63,E11,6.472293931261302,"LINESTRING (102.76002 25.0757209,102.810435 25.031475)"
35,C9,64,E12,9.315177126658078,"LINESTRING (102.76002 25.0757209,102.8412727 25.0235861)"
35,C9,65,E13,9.371885332071002,"LINESTRING (102.76002 25.0757209,102.8417409 25.0232275)"
35,C9,66,F1,16.38478208334259,"LINESTRING (102.76002 25.0757209,102.603135 25.010745)"
35,C9,67,F2,14.406767931994585,"LINESTRING (102.76002 25.0757209,102.6258312 25.0102507)"
35,C9,68,F3,11.949450402139425,"LINESTRING (102.76002 25.0757209,102.6497129 25.0194269)"
35,C9,69,F4,11.384403954715822,"LINESTRING (102.76002 25.0757209,102.6659155 25.004553)"
35,C9,70,F5,9.106882308913429,"LINESTRING (102.76002 25.0757209,102.6901753 25.0122418)"
35,C9,71,F6,8.100269718945647,"LINESTRING (102.76002 25.0757209,102.7068088 25.0107898)"
35,C9,72,F7,6.977724913920817,"LINESTRING (102.76002 25.0757209,102.725993 25.0119111)"
35,C9,73,F8,6.214909020128071,"LINESTRING (102.76002 25.0757209,102.7470337 25.0126338)"
35,C9,74,F9,6.72176661801681,"LINESTRING (102.76002 25.0757209,102.7665124 25.0063613)"
35,C9,75,F10,6.560893184815389,"LINESTRING (102.76002 25.0757209,102.7832762 25.0118261)"
35,C9,76,F11,8.87837480384653,"LINESTRING (102.76002 25.0757209,102.8178768 25.0041733)"
35,C9,77,F12,9.366156007121779,"LINESTRING (102.76002 25.0757209,102.8341484 25.0130527)"
35,C9,78,F13,11.77424648197758,"LINESTRING (102.76002 25.0757209,102.8573572 25.0021294)"
35,C9,79,G1,16.1619765827267,"LINESTRING (102.76002 25.0757209,102.6127089 24.9960006)"
35,C9,80,G2,15.445813947263181,"LINESTRING (102.76002 25.0757209,102.6239643 24.9913798)"
35,C9,81,G3,13.481549114330715,"LINESTRING (102.76002 25.0757209,102.6522773 24.9867654)"
35,C9,82,G4,11.640696425313527,"LINESTRING (102.76002 25.0757209,102.6695912 24.9958649)"
35,C9,83,G5,10.983503182452049,"LINESTRING (102.76002 25.0757209,102.681612 24.9932009)"
35,C9,84,G6,9.814076417776707,"LINESTRING (102.76002 25.0757209,102.7083597 24.9881064)"
35,C9,85,G7,8.705288814402623,"LINESTRING (102.76002 25.0757209,102.7275371 24.9915519)"
35,C9,86,G8,8.136170733463793,"LINESTRING (102.76002 25.0757209,102.7530742 24.9916861)"
35,C9,87,G9,7.768752405986403,"LINESTRING (102.76002 25.0757209,102.762795 24.9952552)"
35,C9,88,G10,8.870874928472315,"LINESTRING (102.76002 25.0757209,102.7819643 24.9864426)"
35,C9,89,G11,9.888586448660865,"LINESTRING (102.76002 25.0757209,102.8084059 24.9853795)"
35,C9,90,G12,10.688490438909238,"LINESTRING (102.76002 25.0757209,102.8265844 24.987178)"
35,C9,91,G13,11.986126067520486,"LINESTRING (102.76002 25.0757209,102.857586 24.9988324)"
35,C9,92,H1,18.292814733395712,"LINESTRING (102.76002 25.0757209,102.603135 24.969285)"
35,C9,93,H2,15.850385042204383,"LINESTRING (102.76002 25.0757209,102.6294408 24.9760535)"
35,C9,94,H3,14.344237925831393,"LINESTRING (102.76002 25.0757209,102.6512025 24.974436)"
35,C9,95,H4,13.396160255467782,"LINESTRING (102.76002 25.0757209,102.6642897 24.9751686)"
35,C9,96,H5,12.241896035269633,"LINESTRING (102.76002 25.0757209,102.6823425 24.9754077)"
35,C9,97,H6,10.953797211264192,"LINESTRING (102.76002 25.0757209,102.7040208 24.9769714)"
35,C9,98,H7,9.87330194155772,"LINESTRING (102.76002 25.0757209,102.7333621 24.9769298)"
35,C9,99,H8,9.784108212754727,"LINESTRING (102.76002 25.0757209,102.7528456 24.9745748)"
35,C9,100,H9,9.699384964915508,"LINESTRING (102.76002 25.0757209,102.7616938 24.9752127)"
35,C9,101,H10,10.288010094544179,"LINESTRING (102.76002 25.0757209,102.795375 24.9751307)"
35,C9,102,H11,10.799628843167048,"LINESTRING (102.76002 25.0757209,102.8079858 24.974595)"
35,C9,103,H12,12.353061992244829,"LINESTRING (102.76002 25.0757209,102.831165 24.969285)"
35,C9,104,H13,13.566925454605338,"LINESTRING (102.76002 25.0757209,102.851895 24.969285)"
35,C9,105,Gate1,19.979653793792593,"LINESTRING (102.76002 25.0757209,102.582405 24.969285)"
35,C9,106,Gate2,19.02899422952914,"LINESTRING (102.76002 25.0757209,102.582405 24.990015)"
35,C9,107,Gate3,18.24885143695621,"LINESTRING (102.76002 25.0757209,102.582405 25.010745)"
35,C9,108,Gate4,17.661835631149636,"LINESTRING (102.76002 25.0757209,102.582405 25.031475)"
35,C9,109,Gate5,17.28763137819632,"LINESTRING (102.76002 25.0757209,102.582405 25.052205)"
35,C9,110,Gate6,17.140182647453095,"LINESTRING (102.76002 25.0757209,102.582405 25.072935)"
35,C9,111,Gate7,17.225313507182026,"LINESTRING (102.76002 25.0757209,102.582405 25.093665)"
35,C9,112,Gate8,17.539637720499414,"LINESTRING (102.76002 25.0757209,102.582405 25.114395)"
35,C9,113,Gate9,16.186684780261473,"LINESTRING (102.76002 25.0757209,102.603135 25.135125)"
35,C9,114,Gate10,14.333567980063744,"LINESTRING (102.76002 25.0757209,102.623865 25.135125)"
35,C9,115,Gate11,12.525792574348328,"LINESTRING (102.76002 25.0757209,102.644595 25.135125)"
35,C9,116,Gate12,10.786180505867435,"LINESTRING (102.76002 25.0757209,102.665325 25.135125)"
35,C9,117,Gate13,9.153676961072115,"LINESTRING (102.76002 25.0757209,102.686055 25.135125)"
35,C9,118,Gate14,7.696740584378048,"LINESTRING (102.76002 25.0757209,102.706785 25.135125)"
35,C9,119,Gate15,6.5338909580537505,"LINESTRING (102.76002 25.0757209,102.727515 25.135125)"
35,C9,120,Gate16,5.843419221079471,"LINESTRING (102.76002 25.0757209,102.748245 25.135125)"
35,C9,121,Gate17,5.796659990703449,"LINESTRING (102.76002 25.0757209,102.768975 25.135125)"
35,C9,122,Gate18,6.407720937693941,"LINESTRING (102.76002 25.0757209,102.789705 25.135125)"
35,C9,123,Gate19,7.517872697506862,"LINESTRING (102.76002 25.0757209,102.810435 25.135125)"
35,C9,124,Gate20,8.943144519096906,"LINESTRING (102.76002 25.0757209,102.831165 25.135125)"
35,C9,125,Gate21,10.556664226735048,"LINESTRING (102.76002 25.0757209,102.851895 25.135125)"
35,C9,126,Gate22,11.488212191498514,"LINESTRING (102.76002 25.0757209,102.872625 25.114395)"
35,C9,127,Gate23,11.002343087326297,"LINESTRING (102.76002 25.0757209,102.872625 25.093665)"
35,C9,128,Gate24,10.868578066084877,"LINESTRING (102.76002 25.0757209,102.872625 25.072935)"
35,C9,129,Gate25,11.099654348624048,"LINESTRING (102.76002 25.0757209,102.872625 25.052205)"
35,C9,130,Gate26,11.673926753765375,"LINESTRING (102.76002 25.0757209,102.872625 25.031475)"
35,C9,131,Gate27,12.544349594882464,"LINESTRING (102.76002 25.0757209,102.872625 25.010745)"
35,C9,132,Gate28,13.654404028663514,"LINESTRING (102.76002 25.0757209,102.872625 24.990015)"
35,C9,133,Gate29,14.950809132295813,"LINESTRING (102.76002 25.0757209,102.872625 24.969285)"
35,C9,134,Gate30,15.137612504492626,"LINESTRING (102.76002 25.0757209,102.851895 24.948555)"
